Wort,Artikel
Termin,der
Haus,das
Buch,das
Kirche,die
Steuer,die
Satz,der
Anruf,der
Anzug,der
Apfel,der
April,der
Arm,der
Arbeitgeber,der
Arbeitsplatz,der
Anruf,der
Anzug,der
Apfel,der
April,der
Arm,der
Arbeitgeber,der
Arbeitsplatz,der
Architekt,der
Arzt,der
August,der
Ausweis,der
Bahnhof,der
Balkon,der
Baum,der
Berg,der
Beruf,der
Bildschirm,der
Bleistift,der
Bus,der
Chef,der
Computer,der
Dezember,der
Durst,der
Drucker,der
Eintrittskarte,die
Einwohner,der
Familienstand,der
Februar,der
Fernseher,der
Finger,der
Flughafen,der
Flur,der
Fotoapparat,der
Freund,der
Friseur,der
Fruehling,der
Fueller,der
Fuss,der
Fussboden,der
Garten,der
Gast,der
Geburtstag,der
Gruss,der
Hafen,der
Hamburger,der
Herbst,der
Himmel,der
Hut,der
Hunger,der
Januar,der
Job,der
Juli,der
Juni,der
Kaffee,der
Kalender,der
Keller,der
Kellner,der
Kleiderhaken,der
Kognak,der
Kuchen,der
Kugelschreiber,der
Kuchen,der
Kunde,der
Laden,der
Lehrer,der
Locher,der
Loeffel,der
Mai,der
Maerz,der
Mann,der
Markt,der
Marktplatz,der
Monitor,der
Name,der
November,der
Oktober,der
Opa,der
Ort,der
Park,der
Pass,der
Passant,der
Preis,der
Projektor,der
Pullover,der
Radiergummi,der
Regen,der
Ring,der
Rock,der
Schinken,der
Schirm,der
Schluessel,der
Schnaps,der
Schnee,der
Schrank,der
September,der
Sessel,der
Sommer,der
Star,der
Stress,der
Strumpf,der
Stuhl,der
Supermarkt,der
Tag,der
Tee,der
Teppich,der
Termin,der
Test,der
Tisch,der
Tourist,der
Urlaub,der
Vater,der
Verkaeufer,der
Wein,der
Wind,der
Winter,der
Wunsch,der
Zeiger,der
Zucker,der
Zug,der
Zuschauer,der
Adresse,die
Apfelsine,die
Apotheke,die
Ausbildung,die
Bank,die
Bankkarte,die
Beschreibung,die
Bestellung,die
Bibliothek,die
Bluse,die
Briefmarke,die
Brille,die
Cafe,die
City,die
Cola,die
Couch,die
Decke,die
Diskette,die
Dolmetscherin,die
Dose,die
Dusche,die
Einkaufszentrum,die
Einladung,die
Entschuldigung,die
EtageKarte,die
Familie,die
Firma,die
Flasche,die
Fotografie,die
Frage,die
Funktion,die
Garage,die
Gardine,die
Geldboerse,die
Gitarre,die
Groeße,die
Hilfe,die
Hose,die
Hotel,die
Huette,die
Information,die
Kasse,die
Kassette,die
Kette,die
Kirche,die
Kino,die
Krankenschwester,die
Krawatte,die
Kreditkarte,die
Kreide,die
Kueche,die
Kultur,die
Lampe,die
Landkarte,die
Mandarine,die
Maschine,die
Maus,die
Menge,die
Mutter,die
Muetze,die
Nachricht,die
Nase,die
Natur,die
Nummer,die
Oma,die
Oper,die
Ordnung,die
Pause,die
Pflanze,die
Pizza,die
Polizistin,die
Post,die
Postkarte,die
Pruefung,die
Rechnung,die
Reparatur,die
Reservierung,die
Sache,die
Sahne,die
Schule,die
Sehenswuerdigkeit,die
Seife,die
SMS,die
Socke,die
Sonne,die
Stelle,die
Straße,die
Straßenbahnm,die
Studentin,die
Tasche,die
Theater,die
Toilette,die
U-Bahn,die
Ueberraschung,die
Uebung,die
Uhr,die
Umwelt,die
Universitaet,die
Warenhaus,das
Wand,die
Wanderung,die
Werbung,die
Werkstatt,die
Wirtschaft,die
Woche,die
Wurst,die
Zeit,die
Zeitung,die
Alter,das
Angebot,das
Auge,das
Auto,das
Bad,das
Bein,das
Bett,das
Bier,das
Bild,das
Broetchen,das
Buch,das
Buero,das
Datum,das
Fahrrad,das
Fest,das
Feuerzeug,das
Flugzeug,das
Formular,das
Foto,das
Fraeulein,das
Fruehstueck,das
Gefuehl,das
Gemuese,das
Glas,das
Handy,das
Haus,das
Heft,das
Hemd,das
Huhn,das
Kaennchen,das
Internet,das
Jahr,das
Kind,das
Kleid,das
Klo,das
Land,das
Leben,das
Maedchen,das
Messer,das
Museum,das
Praktikum,das
Problem,das
Produkt,das
Radio,das
Regal,das
Restaurant,das
Schiff,das
Schnitzel,das
Sofa,das
Spiel,das
Steak,das
Streichholz,das
Stueck,das
Taxi,das
Telefon,das
Ticket,das
Tonbandgeraet,das
Wetter,das
Wort,das
Zimmer,das
